sha256,bytes_each,copies,wasted_bytes,paths
d404cdd25cc990992a988fb7e81489064cded586963d042a0e16d02fb7a87e7f,133188,2,133188,outputs/tables/m5_eta_two_pass_sonic12_98p21875_N164_profiles.json | outputs/tables/m5_eta_two_pass_sonic12_prepass12_98p21875_N164_profiles.json
902b3dd62895dd621ca13710e4d4ccd3b5b1ce98813c36e422afcfabc4086d9e,133122,2,133122,outputs/tables/m5_eta_coupled_window4p8_15_linear_after_alt_98p15625_N164_profiles.json | outputs/tables/m5_eta_coupled_window4p8_7p2_linear_after10_15_98p15625_N164_profiles.json
cb997d8f52e65b264fbfbc5dec09f33d6aeb98135b214c596f7c929f1b444771,132944,2,132944,outputs/tables/m5_source_band_hs_endpoint_trust1em2_eta100_N164_profiles.json | outputs/tables/m5_source_band_hs_oldsrc_w0_eta100_N164_profiles.json
8da864f2f460d6f6e911a7f19e8c4010be4cc2c5df839fe4ca1cb3630c1c0ee4,131800,2,131800,outputs/tables/m5_local_mdot_eta100_N164_reduced_band_90_270_a0p1_globals_profiles.json | outputs/tables/m5_local_mdot_eta100_N164_reduced_band_90_270_a0p1_pass2_profiles.json
0df2083b312dd8153711f1fc84f0c7060f2db382366014916545ded589fafb79,131596,2,131596,outputs/tables/m5_local_mdot_eta100_N160_to_N164_grid_homotopy_auto_block_seed_profiles.json | outputs/tables/m5_local_mdot_eta100_N160_to_N164_grid_homotopy_block_seed_profiles.json
d07217e5b8fad2d261f59fc83f8674a2257d91311528e68dfa9798f43aa6740e,122636,2,122636,outputs/tables/m5_local_mdot_eta100_block_q3_a1em2_n20_profiles.json | outputs/tables/m5_local_mdot_eta100_block_q3_a1em2_relaxed_seed_profiles.json
c052e11da5cf1271937f1db35b7cbebf0773445e84ce2598abf7702287d7ed8c,37737,2,37737,outputs/checkpoints/m5_eta_phase_dae_segment_state_intervalp_k4_from_dae_gs1000_98p125_N164/stage_00_etaE_98p125_N164.npz | outputs/checkpoints/m5_eta_phase_dae_segment_state_intervalp_k4_profile_98p125_N164/stage_00_etaE_98p125_N164.npz
9dc0beb7c6e589bdbd16f1d12d66aba4a660ae23f870b470d27133f65d455125,7177,6,35885,outputs/figures/high_mdot_stream_m5_fs080_smooth_energy_wind_chi099_w005_eta0_aggrpatch_007_N896.png | outputs/figures/high_mdot_stream_m5_fs080_smooth_energy_wind_chi099_w005_eta0_cleanup_007_N896.png | outputs/figures/high_mdot_stream_m5_fs080_smooth_energy_wind_chi099_w005_eta0_globalpatch_007_N896.png | outputs/figures/high_mdot_stream_m5_fs080_smooth_energy_wind_chi099_w005_eta0_tangent_patch_007_ejac1e6_N896.png | outputs/figures/high_mdot_stream_m5_fs080_smooth_energy_wind_chi099_w005_eta0_tangent_patch_007_from0065_N896.png | outputs/figures/high_mdot_stream_source_compact_blend15_origgrid_fs082_N768.png
2cac0f84bb398ddd6f59d1ffef0c3f036c0ecedd2059bced5aedd7ed844f8920,26010,2,26010,outputs/checkpoints/m5_eta99p6_active_mass_profile_sbgrows_eval_N164/stage_00_etaE_99p6_N164.npz | outputs/checkpoints/m5_eta_from99p65_active_mass_profile_sbgrows_ladder_N164/stage_00_etaE_99p6_N164.npz
7c173fcee8649cd4d0200c68de52d7cc64c755e107b20061c2e8f88872ccda8a,25265,2,25265,outputs/checkpoints/m5_eta99p40_noinner_sbgrows_links_refresh_balanced_N164/stage_00_etaE_99p4_N164.npz | outputs/checkpoints/m5_eta_from99p45_noinner_sbgrows_links_refresh_balanced_ladder_N164/stage_00_etaE_99p4_N164.npz
625f11b77f9bd6327eda4fd561440d7186bf4cf57743180659be38578a6827f9,24370,2,24370,outputs/checkpoints/m5_eta99p9_tangent_eval_massview_reg1em5_N164/stage_00_etaE_99p9_N164.npz | outputs/checkpoints/m5_eta_smallstep_tangent_eval_massview_reg1em5_N164/stage_00_etaE_99p9_N164.npz
d2e19c7643dc606de3bbdac2b89b8768620c28e302f4dba89c748f54e381b9a1,24342,2,24342,outputs/checkpoints/m5_eta99p9_tangent_eval_massview_N164/stage_00_etaE_99p9_N164.npz | outputs/checkpoints/m5_eta_smallstep_tangent_eval_massview_N164/stage_00_etaE_99p9_N164.npz
46f6092899f33418fee512c37133f6272a4780febbfe0fff237569e3b80bdb22,3845,7,23070,outputs/checkpoints/slim_benchmark_mdot_injection_ladder/anchor_mdot_0p001.npz | outputs/checkpoints/slim_benchmark_mdot_injection_micro_ladder/anchor_mdot_0p001.npz | outputs/checkpoints/slim_benchmark_mdot_injection_micro_tight_down/anchor_mdot_0p001.npz | outputs/checkpoints/slim_benchmark_mdot_injection_rout10000_2pct_ladder/anchor_mdot_0p001.npz | outputs/checkpoints/slim_benchmark_mdot_injection_rout10000_fivepercent/anchor_mdot_0p001.npz | outputs/checkpoints/slim_benchmark_mdot_injection_rout10000_onepercent/anchor_mdot_0p001.npz | outputs/checkpoints/slim_benchmark_mdot_injection_rout10000_twopercent/anchor_mdot_0p001.npz
515313829d1077eaff3f34beddb5a098a9385f8909fb9ffee1850d14f66c6d40,22447,2,22447,outputs/checkpoints/m5_eta_global_fv_mass_predictor_sourceband_eval_98p125_N164/stage_00_etaE_98p125_N164.npz | outputs/checkpoints/m5_eta_global_fv_mass_sourceband_eval_98p125_N164/stage_00_etaE_98p125_N164.npz
5049f63dc9976d02f7fe031c4420868a569ed0fe17355c458a82844e46814f61,22380,2,22380,outputs/checkpoints/m5_eta99p9_freezeaux_eval_minimal_N164/stage_00_etaE_99p9_N164.npz | outputs/checkpoints/m5_eta_smallstep_freezeaux_eval_massview_N164/stage_00_etaE_99p9_N164.npz
8771c60281341705bb197192cde760482d46a50f6d6354b5bbad498efdae433f,3837,6,19185,outputs/checkpoints/slim_benchmark_adaptive_mdot_ladder_equilibrated/down_mdot_0p00099005.npz | outputs/checkpoints/slim_benchmark_adaptive_mdot_ladder_equilibrated_10pct/down_mdot_0p00099005.npz | outputs/checkpoints/slim_benchmark_adaptive_mdot_ladder_equilibrated_5pct/down_mdot_0p00099005.npz | outputs/checkpoints/slim_benchmark_adaptive_mdot_ladder_secant_10pct_probe/down_mdot_0p00099005.npz | outputs/checkpoints/slim_benchmark_adaptive_mdot_ladder_secant_3e4_3e3/down_mdot_0p00099005.npz | outputs/checkpoints/slim_benchmark_adaptive_mdot_ladder_strict_probe/down_mdot_0p00099005.npz
